Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
459,1653,2210,1875,1295,lean_forward,21,Male,65kg
460,1655,2210,1866,1292,lean_forward,21,Male,65kg
461,1657,2199,1861,1298,lean_forward,21,Male,65kg
462,1648,2209,1872,1280,lean_forward,21,Male,65kg
463,1651,2217,1873,1309,lean_forward,21,Male,65kg
464,1655,2209,1872,1313,lean_forward,21,Male,65kg
465,1658,2203,1875,1315,lean_forward,21,Male,65kg
466,1648,2213,1872,1296,lean_forward,21,Male,65kg
467,1657,2213,1885,1296,lean_forward,21,Male,65kg
468,2099,2297,1467,415,lean_forward,21,Male,65kg
469,2117,2315,1613,547,lean_forward,21,Male,65kg
470,2099,2269,1856,468,lean_forward,21,Male,65kg
471,2078,2256,1974,811,lean_forward,21,Male,65kg
472,1632,2247,1936,1021,lean_forward,21,Male,65kg
473,1635,2225,1959,1085,lean_forward,21,Male,65kg
474,1649,2239,1952,1088,lean_forward,21,Male,65kg
475,1665,2242,1965,1092,lean_forward,21,Male,65kg
476,1663,2239,1959,1102,lean_forward,21,Male,65kg
477,1666,2245,1968,1091,lean_forward,21,Male,65kg
478,1680,2255,1973,1107,lean_forward,21,Male,65kg
479,1950,2282,1957,879,lean_forward,21,Male,65kg
480,2192,2324,2000,706,lean_forward,21,Male,65kg
481,2202,2329,2014,784,lean_forward,21,Male,65kg
482,2208,2330,2019,733,lean_forward,21,Male,65kg
483,2160,2337,2017,746,lean_forward,21,Male,65kg
484,2138,2326,2031,798,lean_forward,21,Male,65kg
485,2165,2334,2030,724,lean_forward,21,Male,65kg
486,2170,2339,2023,741,lean_forward,21,Male,65kg
487,2165,2337,2032,691,lean_forward,21,Male,65kg
488,2169,2352,2039,727,lean_forward,21,Male,65kg
489,2178,2365,2054,736,lean_forward,21,Male,65kg
490,2172,2379,2031,739,lean_forward,21,Male,65kg
491,2155,2389,2038,758,lean_forward,21,Male,65kg
492,2156,2393,2047,803,lean_forward,21,Male,65kg
493,2165,2384,2041,837,lean_forward,21,Male,65kg
494,2191,2336,2045,833,lean_forward,21,Male,65kg
495,1684,2267,2032,855,lean_forward,21,Male,65kg
496,1675,2276,2038,929,lean_forward,21,Male,65kg
497,1674,2269,2028,972,lean_forward,21,Male,65kg
498,1688,2275,2022,974,lean_forward,21,Male,65kg
499,1695,2271,2057,978,lean_forward,21,Male,65kg
500,1712,2277,2043,976,lean_forward,21,Male,65kg
501,2061,2371,1339,823,lean_backward,21,Male,65kg
502,1410,1110,2067,1437,lean_backward,21,Male,65kg
503,1407,759,1879,1533,lean_backward,21,Male,65kg
504,1379,640,1725,1706,lean_backward,21,Male,65kg
505,1299,620,1783,1712,lean_backward,21,Male,65kg
506,1034,559,1815,1731,lean_backward,21,Male,65kg
