Index,fsr1,fsr2,fsr3,fsr4,Posture,Age,Gender,Weight
413,1318,1626,1871,784,lean_forward,21,Male,65kg
414,1308,1625,1853,793,lean_forward,21,Male,65kg
415,1324,1600,1872,806,lean_forward,21,Male,65kg
416,1318,1607,1870,816,lean_forward,21,Male,65kg
417,1312,1613,1860,851,lean_forward,21,Male,65kg
418,1296,1572,1871,877,lean_forward,21,Male,65kg
419,1323,1616,1859,848,lean_forward,21,Male,65kg
420,1311,1610,1875,865,lean_forward,21,Male,65kg
421,1311,1611,1877,889,lean_forward,21,Male,65kg
422,1326,1605,1872,867,lean_forward,21,Male,65kg
423,1310,1601,1877,854,lean_forward,21,Male,65kg
424,1316,1600,1885,871,lean_forward,21,Male,65kg
425,1299,1602,1877,853,lean_forward,21,Male,65kg
426,1306,1614,1881,867,lean_forward,21,Male,65kg
427,1305,1611,1882,879,lean_forward,21,Male,65kg
428,1375,1835,1600,715,lean_forward,21,Male,65kg
429,1360,1866,1712,801,lean_forward,21,Male,65kg
430,1360,1873,1338,992,lean_forward,21,Male,65kg
431,1343,1876,1319,967,lean_forward,21,Male,65kg
432,1262,1734,1294,1035,lean_forward,21,Male,65kg
433,1243,1725,1718,847,lean_forward,21,Male,65kg
434,1207,1472,1712,923,lean_forward,21,Male,65kg
435,1201,1409,1746,891,lean_forward,21,Male,65kg
436,1190,1395,1746,897,lean_forward,21,Male,65kg
437,1197,1455,1767,912,lean_forward,21,Male,65kg
438,1194,1482,1763,915,lean_forward,21,Male,65kg
439,1200,1466,1774,921,lean_forward,21,Male,65kg
440,1191,1472,1792,928,lean_forward,21,Male,65kg
441,1200,1473,1791,937,lean_forward,21,Male,65kg
442,1200,1465,1791,954,lean_forward,21,Male,65kg
443,1181,1472,1781,981,lean_forward,21,Male,65kg
444,1187,1467,1791,966,lean_forward,21,Male,65kg
445,1173,1461,1791,964,lean_forward,21,Male,65kg
446,1168,1473,1792,947,lean_forward,21,Male,65kg
447,1170,1454,1796,971,lean_forward,21,Male,65kg
448,1159,1478,1795,974,lean_forward,21,Male,65kg
449,1139,1471,1797,962,lean_forward,21,Male,65kg
450,1146,1465,1803,962,lean_forward,21,Male,65kg
451,1148,1458,1797,974,lean_forward,21,Male,65kg
452,1104,1472,1804,986,lean_forward,21,Male,65kg
453,1130,1472,1808,992,lean_forward,21,Male,65kg
454,1111,1475,1791,999,lean_forward,21,Male,65kg
455,1113,1476,1799,1008,lean_forward,21,Male,65kg
456,1111,1482,1801,1002,lean_forward,21,Male,65kg
457,1100,1499,1791,979,lean_forward,21,Male,65kg
458,1093,1490,1803,1055,lean_forward,21,Male,65kg
459,1107,1489,1804,1071,lean_forward,21,Male,65kg
460,1075,1514,1813,1040,lean_forward,21,Male,65kg
461,1130,1515,1802,1019,lean_forward,21,Male,65kg
462,1127,1517,1797,1034,lean_forward,21,Male,65kg
463,1130,1520,1808,1020,lean_forward,21,Male,65kg
464,1135,1511,1808,1051,lean_forward,21,Male,65kg
465,1115,1501,1808,1070,lean_forward,21,Male,65kg
466,1104,1502,1813,1073,lean_forward,21,Male,65kg
467,1117,1500,1821,1066,lean_forward,21,Male,65kg
468,1110,1498,1813,1056,lean_forward,21,Male,65kg
469,1110,1502,1812,1030,lean_forward,21,Male,65kg
470,1106,1488,1822,1037,lean_forward,21,Male,65kg
471,1105,1489,1813,1045,lean_forward,21,Male,65kg
472,1104,1497,1826,1051,lean_forward,21,Male,65kg
473,1118,1491,1824,1045,lean_forward,21,Male,65kg
474,1118,1490,1821,1049,lean_forward,21,Male,65kg
475,1128,1493,1828,1064,lean_forward,21,Male,65kg
476,1104,1489,1830,1054,lean_forward,21,Male,65kg
477,1127,1488,1822,1053,lean_forward,21,Male,65kg
478,1117,1489,1827,1058,lean_forward,21,Male,65kg
479,1127,1488,1827,1061,lean_forward,21,Male,65kg
480,1116,1487,1834,1057,lean_forward,21,Male,65kg
481,1123,1502,1837,1065,lean_forward,21,Male,65kg
482,1123,1487,1810,1072,lean_forward,21,Male,65kg
483,1098,1531,1835,1101,lean_forward,21,Male,65kg
484,1121,1519,1850,1009,lean_forward,21,Male,65kg
485,1120,1514,1854,1013,lean_forward,21,Male,65kg
486,1117,1516,1849,1002,lean_forward,21,Male,65kg
487,1147,1557,1865,1021,lean_forward,21,Male,65kg
488,1489,1927,1506,643,lean_forward,21,Male,65kg
489,1321,1887,1445,837,lean_forward,21,Male,65kg
490,1325,1751,1394,942,lean_forward,21,Male,65kg
491,1367,1776,628,740,lean_forward,21,Male,65kg
492,1170,1713,0,332,lean_forward,21,Male,65kg
493,976,1620,730,432,lean_forward,21,Male,65kg
494,836,1363,933,670,lean_forward,21,Male,65kg
495,943,1326,1461,939,lean_forward,21,Male,65kg
496,1168,1520,1582,1088,lean_forward,21,Male,65kg
