,fsr1,fsr2,fsr3,fsr4,posture,age,gender,weight
470,1558,720,2221,1889,lean_right,21,Male,65kg
471,1622,643,2234,1928,lean_right,21,Male,65kg
472,1587,531,2267,1927,lean_right,21,Male,65kg
473,1674,685,1869,1771,lean_right,21,Male,65kg
474,1483,722,2400,1941,lean_right,21,Male,65kg
475,1663,675,2000,1831,lean_right,21,Male,65kg
476,1681,752,2032,1856,lean_right,21,Male,65kg
477,1719,748,2073,1896,lean_right,21,Male,65kg
478,1671,751,2093,1882,lean_right,21,Male,65kg
479,1703,1380,2138,1920,lean_right,21,Male,65kg
480,1695,921,1808,1751,lean_right,21,Male,65kg
481,1702,797,1762,1732,lean_right,21,Male,65kg
482,1715,715,1885,1800,lean_right,21,Male,65kg
483,1693,669,1922,1807,lean_right,21,Male,65kg
484,1706,478,1974,1840,lean_right,21,Male,65kg
485,1744,685,1981,1862,lean_right,21,Male,65kg
486,1709,677,2121,1915,lean_right,21,Male,65kg
487,1664,605,2337,2000,lean_right,21,Male,65kg
488,1653,651,2338,1995,lean_right,21,Male,65kg
489,1645,670,2235,1940,lean_right,21,Male,65kg
490,1658,709,2201,1929,lean_right,21,Male,65kg
491,1694,726,2279,1986,lean_right,21,Male,65kg
492,1686,818,2289,1987,lean_right,21,Male,65kg
493,1689,820,2235,1962,lean_right,21,Male,65kg
494,1680,802,2210,1945,lean_right,21,Male,65kg
495,1662,827,2174,1918,lean_right,21,Male,65kg
496,1663,818,2115,1889,lean_right,21,Male,65kg
497,1731,806,2115,1923,lean_right,21,Male,65kg
498,1746,791,2127,1936,lean_right,21,Male,65kg
499,1748,802,2150,1949,lean_right,21,Male,65kg
500,1745,787,2139,1942,lean_right,21,Male,65kg
501,1734,783,2142,1938,hunched,21,Male,65kg
502,1733,787,2128,1930,hunched,21,Male,65kg
503,1733,742,2071,1902,hunched,21,Male,65kg
504,1881,596,725,1303,hunched,21,Male,65kg
505,1679,594,720,1199,hunched,21,Male,65kg
506,1764,795,944,1354,hunched,21,Male,65kg
507,1794,749,959,1376,hunched,21,Male,65kg
508,1802,747,970,1386,hunched,21,Male,65kg
509,1863,762,992,1427,hunched,21,Male,65kg
510,1899,790,1002,1450,hunched,21,Male,65kg
511,1901,879,1132,1516,hunched,21,Male,65kg
